point	x	y	Oxalis	boreal	nBor	nTot	Grn	NDVI	T61	Wet
50	2210	114.16	0	0	0	9	0.129838	0.657476	299.262	-0.0676636
51	2079.48	72.75	0	0	0	9	0.0940814	0.526173	301.29	-0.0633417
52	1420	1101.52	1	4.5454545	1	22	0.0780652	0.540734	295.527	-0.0407169
53	1540	1118.88	1	3.125	1	32	0.0949618	0.580938	295.105	-0.0324332
54	1640	1053.7	0	0	0	15	0.122847	0.632695	295.527	-0.0532038
55	1657.38	1104.36	1	3.2258065	1	31	0.145439	0.660637	295.105	-0.0511058
56	1421.2	995.77	1	4.1666667	1	24	0.101977	0.571835	295.527	-0.0432219
57	1377.73	942.15	0	0	0	13	0.0837703	0.549614	295.527	-0.0411792
58	1555.95	962.38	0	0	0	25	0.0986386	0.592424	295.105	-0.0419989
59	1864.58	952.26	1	5	1	20	0.10908	0.58642	295.105	-0.051301
60	1377.78	852.23	1	4.1666667	1	24	0.118111	0.623392	294.681	-0.046977
61	1360.37	749.39	0	8	2	25	0.0945041	0.580938	294.681	-0.0358334
62	1343	642.21	0	0	0	24	0.115401	0.603304	295.105	-0.0378971
63	1740.01	640.78	0	0	0	22	0.119401	0.609947	295.105	-0.0487358
64	1660	617.58	0	0	0	9	0.0987854	0.588666	294.681	-0.0412133
65	1830	832.01	0	0	0	16	0.112823	0.603304	294.681	-0.0457234
66	1840	711.73	0	0	0	21	0.107719	0.606794	294.681	-0.0444422
67	1834.21	611.73	0	0	0	16	0.192552	0.686871	294.681	-0.0689834
68	1590	1053.71	1	5.4054054	2	37	0.131468	0.624765	295.527	-0.0563041
69	1653.04	859.46	0	0	0	26	0.102926	0.585664	295.105	-0.0485155
70	1339.24	592.08	0	0	0	17	0.119134	0.609947	295.105	-0.0411473
71	1478.61	519.98	1	5	1	20	0.112924	0.603304	294.681	-0.0433057
72	1650	526.31	0	0	0	9	0.117893	0.609947	294.681	-0.0452756
73	1809	541.91	0	0	0	11	0.117063	0.609947	295.105	-0.0497276
74	1378.4	457.42	0	0	0	6	0.130348	0.641549	294.681	-0.0457152
75	1397.18	363.42	0	0	0	8	0.154102	0.642587	295.105	-0.056462
76	1650	458.89	0	0	0	13	0.114619	0.593346	295.105	-0.0417571
77	1649.32	327.4	0	0	0	8	0.116257	0.596723	295.527	-0.0456438
78	1790	424.47	0	5	1	20	0.11817	0.600044	295.105	-0.0457966
79	1735.45	327.37	0	0	0	10	0.131385	0.634432	295.527	-0.0504208
80	1353.35	299.22	0	0	0	13	0.148654	0.632183	295.527	-0.0445785
81	1373.67	235.05	0	0	0	9	0.144809	0.638722	295.948	-0.047709
82	1513.08	325.85	0	0	0	57	0.158161	0.600807	295.527	-0.0696551
83	1530	188.01	0	0	0	11	0.137808	0.64284	295.105	-0.053692
84	1320	133.17	0	0	0	7	0.139433	0.640081	294.681	-0.0470433
85	1262.52	0.13	0	0	0	40	0.128324	0.628604	296.367	-0.0568079
86	1360	7.93	0	0	0	24	0.135547	0.609018	296.367	-0.069174
87	1491.13	120.66	0	0	0	17	0.152314	0.651677	295.105	-0.0609552
88	1752.66	122.22	0	0	0	18	0.11395	0.596723	296.367	-0.055959
89	860.54	6078.51	0	35.7142857	5	14	0.0376721	0.420837	296.367	-0.0187194
90	434	6097.39	0	20	2	10	0.022443	0.375662	296.785	-0.00839093
91	494.86	6087.03	0	12.5	2	16	0.0305693	0.39053	296.367	-0.0106403
92	903	6051.14	1	28.5714286	4	14	0.022902	0.375662	296.367	-0.00724246
93	811.44	5982.18	1	31.5789474	6	19	0.0236693	0.374155	296.367	-0.012834
94	877.54	5899.99	0	14.2857143	3	21	0.0475715	0.45473	295.948	-0.0215538
95	845.42	5817.7	1	50	9	18	0.0325556	0.40607	296.367	-0.0206395
96	385	5799.83	1	16.6666667	3	18	0.0306838	0.416494	297.201	-0.0201295
97	447	5793.12	1	20	3	15	0.0258075	0.392662	297.201	-0.0183195
98	836.01	5735.56	1	30.7692308	4	13	0.0359353	0.420837	296.367	-0.0175208
99	391.84	5762.95	0	25	4	16	0.0228867	0.374155	297.201	-0.0158139
100	394.68	5695.89	0	10.7142857	3	28	0.028535	0.3984	297.201	-0.0225917
101	630.93	5667.45	0	15.3846154	4	26	0.039883	0.44166	297.201	-0.0295753
102	813.34	5647.61	1	18.1818182	6	33	0.0396704	0.417874	296.785	-0.0281303
103	878.5	5684.45	1	27.7777778	5	18	0.0297351	0.408761	296.785	-0.0162075
104	922	7098.19	0	11.1111111	3	27	0.0654179	0.481158	295.948	-0.017581
105	535.72	6909.5	0	12.5	3	24	0.0963652	0.564151	295.948	-0.0398151
106	814	7042.35	0	8.6956522	2	23	0.110811	0.593346	295.948	-0.0491388
107	894.6	7047.17	0	12.5	4	32	0.11803	0.59046	295.948	-0.0488419
108	985.28	7045.29	1	23.0769231	3	13	0.122906	0.600179	295.948	-0.0506519
109	983.3	6948.97	0	14.6341463	6	41	0.115011	0.596723	295.527	-0.0548718
110	571.39	6878	0	11.7647059	2	17	0.107079	0.563788	295.948	-0.0507534
111	535.71	6860.13	0	14.8148148	4	27	0.093625	0.570381	295.948	-0.0347597
112	632.84	6791.95	1	13.7931034	4	29	0.0940768	0.560204	295.527	-0.0480656
113	719.79	6820.39	1	28.5714286	6	21	0.084037	0.534935	295.527	-0.0173344
114	949.37	6817.49	1	24	6	25	0.0760924	0.526738	295.948	-0.0174001
115	989	6799.57	0	3.7037037	1	27	0.109811	0.599897	295.948	-0.0509086
116	522.26	6771.21	0	13.5135135	5	37	0.103699	0.569533	295.948	-0.0498876
117	625.28	6695.59	0	9.7560976	4	41	0.115464	0.600044	295.948	-0.0534669
118	722.58	6690.92	0	7.6923077	2	26	0.1171	0.613185	295.948	-0.0530986
119	902.13	6665.37	0	6.4516129	2	31	0.117242	0.603311	295.527	-0.0529368
120	357.73	5658.67	0	12.5	6	48	0.0325034	0.413546	297.616	-0.0218553
121	346.63	5544.59	0	7.8947368	3	38	0.0365731	0.420837	298.03	-0.0240574
122	606.37	5598.4	0	12.1212121	4	33	0.043139	0.431502	297.201	-0.0271667
123	842.97	5321.03	1	12.5	5	40	0.0437226	0.448272	297.201	-0.0306642
124	341.05	5185.52	0	11.1111111	6	54	0.0355181	0.442451	296.785	-0.022788
125	530.33	5083.43	1	15	6	40	0.052103	0.468809	297.201	-0.0366145
126	519.17	5160.46	0	14.2857143	6	42	0.0541316	0.48989	297.201	-0.0248981
127	820.69	5051.87	1	16	8	50	0.057178	0.490508	296.785	-0.0324385
128	1236.35	6075.36	0	20.8333333	5	24	0.0384966	0.417874	297.201	-0.0148911
129	1115.63	6058.72	0	33.3333333	4	12	0.0249055	0.384279	296.785	-0.0129252
130	972	6043.95	1	36.3636364	8	22	0.0214374	0.375662	296.785	-0.0107844
131	1458.15	6013.58	1	23.8095238	5	21	0.0339806	0.40607	297.201	-0.0190966
132	994.9	5960.52	1	23.0769231	6	26	0.0209788	0.356876	296.367	-0.0159174
133	1440	5918.38	0	18.5185185	5	27	0.0360241	0.420837	297.201	-0.0196759
134	954.66	5865.35	0	40	6	15	0.0466586	0.46544	296.367	-0.0201226
135	1416.94	5816.25	0	25	5	20	0.0315967	0.40607	297.201	-0.0215607
136	999.83	5833	0	35.2941176	6	17	0.0302349	0.408761	296.785	-0.0164347
137	938.99	5724.02	0	18.5185185	5	27	0.0275448	0.400819	297.201	-0.0164137
138	1410	5727.94	0	33.3333333	5	15	0.0425476	0.452314	296.785	-0.0196492
139	1115.64	5668.16	0	37.5	6	16	0.0893672	0.556185	296.785	-0.050053
140	1190	5653.39	0	25	2	8	0.0812553	0.571382	296.367	-0.0383521
141	1282.44	5645.51	0	29.4117647	5	17	0.0491497	0.489213	296.785	-0.0266209
142	1344.31	5635.78	0	37.5	6	16	0.0696305	0.543865	296.785	-0.0317275
143	1410.05	5616.12	0	31.25	5	16	0.0461061	0.46544	296.785	-0.0242155
144	1003.75	5612.12	0	9.0909091	3	33	0.0379674	0.445506	297.201	-0.0251675
145	1185.32	5593.55	0	24.2424242	8	33	0.0225213	0.403441	296.785	-0.0114047
146	1250	5620.03	0	16.6666667	2	12	0.0511737	0.461038	296.367	-0.0221258
147	1306.04	5624.89	0	33.3333333	4	12	0.0491497	0.489213	296.785	-0.0266209
148	1359.03	5567.99	1	31.25	10	32	0.024397	0.406292	296.785	-0.0104108
149	1424.78	5584.66	0	18.1818182	4	22	0.0332444	0.424028	296.785	-0.0166196
150	989.03	5935.98	0	0	0	2	0.0222102	0.365633	296.785	-0.0166324
151	960.02	5578.46	0	10	4	40	0.0476021	0.461038	296.785	-0.0277727
152	1124.14	5546.43	0	11.5384615	3	26	0.0207011	0.3668	296.785	-0.0153964
153	1364.96	5519.88	0	11.4285714	4	35	0.029777	0.380762	296.785	-0.0224479
154	937	5378.11	0	14.8148148	4	27	0.0505064	0.473226	298.03	-0.035475
155	1355.35	5436.74	1	26.6666667	8	30	0.0316336	0.396161	296.785	-0.0289163
156	1196.6	5322.74	0	12.5	3	24	0.0205672	0.347483	297.201	-0.0164738
157	952	5070.17	0	12.8205128	5	39	0.0504871	0.461038	297.201	-0.0277876
158	899	5146.89	1	19.3548387	6	31	0.0418486	0.44166	297.201	-0.0285123
159	1320	5041.43	1	18.5185185	5	27	0.0239517	0.365633	295.948	-0.0127314
160	758	1651.74	1	25	7	28	0.036125	0.403576	296.785	-0.0212428
161	486	1747.77	0	19.4444444	7	36	0.0472786	0.461038	297.201	-0.0296041
162	569	1712.7	0	22.2222222	4	18	0.0338384	0.413546	297.201	-0.0147825
163	873	1688.97	1	16.6666667	8	48	0.0341939	0.420837	296.785	-0.0214218
164	735	1484.49	1	25	8	32	0.0337403	0.413546	295.948	-0.0228267
165	509	1585.75	1	25	8	32	0.0358941	0.413546	296.367	-0.0192494
166	491	1367.84	1	26.6666667	8	30	0.0380423	0.420837	296.367	-0.0154158
167	801.62	1323.48	1	17.5	7	40	0.0493441	0.47177	295.948	-0.0252432
168	1071.09	2249.28	0	23.5294118	4	17	0.0646203	0.506693	296.367	-0.030995
169	1214.32	2232.76	0	0	0	21	0.0434313	0.415116	296.785	-0.0177449
170	1485.31	2193.09	0	18.75	6	32	0.0390764	0.401606	296.785	-0.0503432
171	1045.73	2199.64	0	8.3333333	2	24	0.0456407	0.45473	296.367	-0.0257174
172	1202.19	2189.7	0	22.2222222	4	18	0.0410887	0.424769	296.785	-0.0229562
173	1432.46	2162.18	0	11.1111111	2	18	0.0708891	0.478899	296.367	-0.0462717
174	1462.17	2140.14	0	6.6666667	2	30	0.0535931	0.413134	296.367	-0.0545235
175	1080	2131.33	0	21.0526316	4	19	0.027576	0.371478	296.367	-0.0261259
176	1132.74	2145.74	0	13.6363636	3	22	0.0382627	0.410812	296.785	-0.0253567
177	1480	2088.35	0	22.7272727	5	22	0.0511512	0.420905	295.948	-0.0655273
178	999.44	2016.74	0	21.0526316	4	19	0.0329387	0.379198	295.948	-0.0176278
179	1010	1937.45	0	20.8333333	5	24	0.0326561	0.40607	296.367	-0.0182218
180	1180	2063.09	0	10.5263158	2	19	0.0303471	0.380762	296.367	-0.0109341
181	1413.73	1961.66	0	10.3448276	3	29	0.027285	0.364558	295.948	-0.0150695
182	1470	1928.65	0	26.6666667	4	15	0.0220626	0.384279	295.948	-0.0165378
183	1225.34	1939.66	0	40	4	10	0.0230351	0.347123	296.367	-0.0167886
184	978.54	1775.52	0	9.5238095	2	21	0.047613	0.444507	296.785	-0.0238097
185	1257.26	1733.69	0	7.4074074	2	27	0.0206417	0.310138	297.201	-0.053564
186	1431.31	1717.17	0	11.1111111	2	18	0.0413034	0.44166	296.367	-0.0331321
187	1170.22	1845.98	0	40	4	10	0.0332577	0.379198	296.367	-0.0208961
188	1048.79	7087.87	0	0	0	20	0.101518	0.575577	296.367	-0.041266
190	1290.83	7074.21	0	0	0	23	0.103797	0.55642	295.527	-0.045828
191	1396.14	6993.86	1	4.7619048	1	21	0.125643	0.612799	295.948	-0.0505721
192	1503.11	7047.73	1	4.5454545	1	22	0.0958527	0.568027	295.948	-0.0388047
193	1290	6869.99	0	0	0	21	0.117392	0.600044	295.948	-0.0436768
194	1117.16	6680.24	1	15.6862745	8	51	0.109043	0.58642	295.527	-0.0448257
195	1199.15	6757.42	0	0	0	22	0.115479	0.596723	295.948	-0.043524
196	1016.68	6664.16	1	3.8461538	1	26	0.111187	0.589912	295.948	-0.0460916
197	1526.62	2184.72	0	5.7142857	2	35	0.0650042	0.501522	296.367	-0.0422114
198	1562.35	2185.77	0	30	3	10	0.0804289	0.536162	295.948	-0.0240863
199	1612.42	2179.56	1	18.4210526	7	38	0.0956861	0.560204	295.527	-0.0350072
200	1680.83	2167.39	0	0	0	28	0.119995	0.603311	295.527	-0.0437943
201	1776.77	2158.12	1	12.5	1	8	0.0921293	0.562308	295.527	-0.0351871
202	1890.13	2143.83	1	20	4	20	0.0596194	0.474556	296.367	-0.0245391
203	1970.78	2132.61	0	36.3636364	4	11	0.0434264	0.431502	296.367	-0.01886
204	2025.95	2128.57	1	29.1666667	7	24	0.0451404	0.444507	296.367	-0.0241186
205	2015.71	2068.29	1	28.5714286	4	14	0.0554983	0.468809	296.367	-0.0289089
206	1580.73	2105.05	0	13.0434783	3	23	0.065856	0.506693	295.948	-0.0297147
207	1711.43	2071.34	0	50	1	2	0.0383331	0.445506	295.948	-0.0269636
208	2010	1983.55	1	35.2941176	6	17	0.0380789	0.427948	296.367	-0.0187868
209	1517.44	1977.42	1	40	6	15	0.0332447	0.40607	295.948	-0.0206042
210	1625.64	1964.18	1	18.1818182	4	22	0.0872443	0.553926	295.948	-0.0404721
211	1970.81	1700.7	0	6.6666667	2	30	0.0374024	0.420837	296.367	-0.0196053
212	1677.71	1701.72	1	13.6363636	3	22	0.029411	0.3984	295.948	-0.0166673
213	1970	1637.44	1	18.1818182	4	22	0.058619	0.484875	295.948	-0.0232044
214	1493.95	1716	1	4.7619048	1	21	0.0318736	0.40607	296.367	-0.0212016
215	745.97	3918.64	0	41.6666667	5	12	0.0388777	0.424769	296.785	-0.0359534
216	942.88	3861.78	0	14.2857143	3	21	0.0176992	0.338563	298.853	-0.0374856
217	1187.14	3853.28	0	17.2413793	5	29	0.0293086	0.379198	297.616	-0.0293198
218	736.47	3799.61	0	33.3333333	3	9	0.0315916	0.396161	298.03	-0.0252889
219	1112.4	3607.92	1	20	4	20	0.0377162	0.410812	298.03	-0.0266018
220	907.07	3707.95	0	11.1111111	1	9	0.0281962	0.396161	298.442	-0.0329944
221	1126.11	3530.02	0	15	3	20	0.0333229	0.403576	297.616	-0.0262311
223	682.73	3450.05	1	11.5384615	3	26	0.0608231	0.485685	295.527	-0.0375181
224	813.33	3437.37	0	8.6956522	2	23	0.035796	0.410812	296.367	-0.0228177
225	1069.2	3362.64	0	0	0	11	0.141024	0.63484	295.527	-0.0692849
226	1273.49	3550.02	0	13.0434783	3	23	0.0347618	0.427948	297.201	-0.0365951
227	736	3377.3	1	6.6666667	2	30	0.0657298	0.527696	295.527	-0.0460384
228	702.17	3106.08	0	4.8780488	2	41	0.119343	0.606525	296.367	-0.0472006
229	847.61	3337.96	1	5.5555556	1	18	0.123799	0.585213	295.105	-0.0657542
230	933	3337.94	0	0	0	14	0.079008	0.506233	295.105	-0.0519018
231	1000	3082.57	0	0	0	10	0.115771	0.593752	295.527	-0.0568321
233	743	2890.02	1	6.3829787	3	47	0.123562	0.615861	296.367	-0.0639957
234	792.56	2857.29	1	9.375	3	32	0.133713	0.618295	296.367	-0.0560326
235	941.9	2905.73	0	8	2	25	0.0837109	0.553926	295.948	-0.0418683
236	1372.37	4453.59	0	4.1666667	1	24	0.060057	0.490508	295.948	-0.0353013
237	1632.68	4416.28	0	3.5714286	1	28	0.0541736	0.48989	296.367	-0.0285255
238	1791.42	4333.41	0	0	0	34	0.0903727	0.556185	296.367	-0.0476596
239	1681.66	4242.3	0	0	0	27	0.118067	0.603311	295.527	-0.0535844
240	1325.71	4298.34	0	5.2631579	1	19	0.0864721	0.566382	296.785	-0.0593573
241	1294.19	4116.3	0	0	0	18	0.0986282	0.571835	296.367	-0.0494552
242	1347.87	4005.45	0	0	0	18	0.107844	0.599897	296.367	-0.0485968
243	1410.9	4113.91	0	0	0	22	0.15806	0.668271	295.948	-0.0610603
244	1626.82	4155.96	1	4.3478261	1	23	0.0784357	0.525854	295.527	-0.0413979
245	1686.36	4122.13	1	3.8461538	1	26	0.0332763	0.43137	295.527	-0.0250902
246	1263.84	3877.05	0	0	0	22	0.0370265	0.401259	297.201	-0.0252655
247	1356.09	3868.9	0	0	0	27	0.127416	0.628604	295.948	-0.0511572
249	1494.93	4006.63	0	0	0	22	0.0440508	0.422633	295.948	-0.0485849
257	2237.17	3693.03	0	14.2857143	2	14	0.123622	0.597238	295.948	-0.059711
261	2040.23	3527.98	0	0	0	17	0.0865496	0.558157	297.201	-0.040251
263	1912.91	3414.82	0	0	0	16	0.0264929	0.382451	298.03	-0.024264
264	1818.61	3320.41	0	0	0	15	0.0349592	0.427948	298.03	-0.0227584
265	1830.41	3279.13	0	0	0	22	0.0384866	0.427948	295.948	-0.0242102
266	1937.7	3279.18	1	4	1	25	0.109577	0.565367	295.527	-0.050808
267	2061.46	3254.41	0	0	0	27	0.118892	0.570121	295.527	-0.0501449
269	1999.44	2592.98	1	14.2857143	6	42	0.0366268	0.37283	296.367	-0.0461008
270	2060	2590.87	0	8.1081081	3	37	0.031008	0.379198	296.367	-0.0217914
271	1820	2528.95	1	12.5	3	24	0.0201082	0.347483	296.367	-0.0176223
272	1988.93	2499.61	0	14.2857143	2	14	0.0520614	0.479115	295.948	-0.0343586
273	1690	2487.05	1	13.9534884	6	43	0.0239364	0.364558	295.948	-0.0213027
274	1744.47	2412.58	1	20	4	20	0.0271799	0.39053	295.948	-0.0154979
275	2060.29	2405.24	0	14.2857143	2	14	0.0426804	0.44166	295.948	-0.0296867
276	1630	2324.42	1	9.0909091	3	33	0.0506638	0.467201	295.948	-0.0267418
277	1702.5	2331.72	0	15.3846154	2	13	0.0400518	0.427948	295.948	-0.0182506
278	1680.48	2223.69	1	9.375	3	32	0.0431449	0.431502	295.527	-0.0243188
279	1980	2418.84	1	24.137931	7	29	0.042481	0.448272	295.948	-0.0347925
281	1950.05	4273.72	1	13.7931034	4	29	0.0211967	0.375662	296.367	-0.0176189
282	1985.53	4172.16	1	14.8148148	4	27	0.0309197	0.388558	297.201	-0.0210077
283	2236.41	4322.74	1	18.1818182	4	22	0.0219376	0.356876	296.367	-0.0149962
284	2158.08	3768.28	1	9.7560976	4	41	0.0369728	0.427948	296.367	-0.0235979
285	2209.52	3802.58	0	5.8823529	1	17	0.112673	0.59046	296.367	-0.0513877
286	2137.3	3992.25	0	0	0	27	0.0245982	0.380762	297.616	-0.0304271
287	309.99	4591.95	0	11.7647059	2	17	0.0404896	0.424769	298.03	-0.0285215
288	671.06	4534.43	0	9.5238095	2	21	0.0581322	0.490508	296.785	-0.0366169
289	251.3	4505.09	0	10.5263158	2	19	0.0352851	0.401259	298.03	-0.0291666
290	458.11	4557.74	0	33.3333333	3	9	0.0513011	0.45693	297.201	-0.0319069
291	208	4402.32	0	10.5263158	2	19	0.0472327	0.450789	297.616	-0.0319565
292	185	4244.42	0	7.6923077	1	13	0.0357807	0.408269	298.03	-0.0313891
293	636.78	4281.05	0	14.8148148	4	27	0.0436465	0.44166	297.201	-0.0292923
294	776.33	4527.17	0	10.5263158	2	19	0.0845995	0.549614	296.367	-0.0367272
295	226.79	4064.52	0	26.0869565	6	23	0.0300292	0.377744	298.442	-0.0363836
296	422.59	4025.27	0	5.7142857	2	35	0.0237691	0.362642	298.442	-0.0343879
297	696.74	3997.15	0	16.6666667	4	24	0.0330166	0.396161	296.785	-0.023746
298	1858.24	4372.89	0	5.7142857	2	35	0.0760044	0.536162	296.785	-0.0444541
299	1995.42	1609.08	0	14.2857143	3	21	0.0394872	0.445506	295.948	-0.0229318
300	2267.39	1524.65	1	13.1578947	5	38	0.0606512	0.506809	295.948	-0.0308512
301	2462.2	1461.13	1	11.9047619	5	42	0.0650208	0.506693	295.948	-0.0370148
302	2435.09	1240.28	1	6.6666667	1	15	0.0770251	0.536162	295.527	-0.0290133
303	2001.68	1120.49	0	7.1428571	1	14	0.122361	0.619504	295.105	-0.0416621
304	2428.87	1034	0	0	0	13	0.120449	0.613185	295.105	-0.0468653
305	2233	1060.01	0	0	0	14	0.0921192	0.566382	295.105	-0.0400304
306	2008.97	1085.04	0	7.1428571	1	14	0.14166	0.645557	295.105	-0.050208
307	2371.56	1047.45	0	0	0	16	0.108677	0.596432	295.105	-0.0421494
308	1952.69	1202.77	0	0	0	13	0.129793	0.641549	295.105	-0.0441817
309	614.92	2850.9	0	5.5555556	1	18	0.167714	0.670578	295.948	-0.0744573
310	767.09	2827.48	0	10.5263158	2	19	0.106796	0.58642	296.367	-0.0513474
311	860.68	2815.7	0	5.5555556	1	18	0.125597	0.612799	296.367	-0.0520444
312	927.77	2801.9	0	5.5555556	1	18	0.142775	0.660637	295.948	-0.0624034
313	1043.7	2778.47	0	0	0	7	0.118341	0.623392	295.527	-0.0480902
314	1047.98	2688.07	0	0	0	14	0.0513352	0.462935	295.105	-0.0296514
315	591.51	2610.42	0	3.4482759	1	29	0.124695	0.612799	296.367	-0.0435457
316	844.76	2617.88	0	0	0	48	0.0588956	0.471638	295.948	-0.0437125
317	983.06	2402.94	1	12.5	1	8	0.037517	0.399101	296.785	-0.0312162
318	721.34	2579.5	0	0	0	52	0.0811629	0.539346	296.367	-0.0416855
319	576.62	2381.59	1	15.7894737	3	19	0.0280448	0.380762	296.367	-0.0161496
320	777.71	2365.71	0	26.6666667	4	15	0.0289654	0.380762	296.785	-0.0194792
321	878.77	2324.15	0	21.7391304	5	23	0.0213911	0.356876	297.201	-0.0162412
322	940.52	2318.88	0	12.1212121	4	33	0.0271688	0.380762	296.785	-0.022074
323	1003.3	2302.88	1	21.7391304	5	23	0.0322219	0.413546	296.785	-0.0273141
324	793.67	2513.6	0	0	0	8	0.0340598	0.376389	296.367	-0.0251123
325	54.22	3467.85	1	41.6666667	5	12	0.0259234	0.371478	298.853	-0.0321821
326	24.95	3380.12	0	19.047619	8	42	0.0327518	0.399101	298.442	-0.0417709
327	213	3430.94	1	18.1818182	6	33	0.0201082	0.347483	297.616	-0.0176223
328	312.88	3424.73	1	17.6470588	6	34	0.025396	0.382451	296.785	-0.0188759
329	396.01	3424.76	0	3.8461538	1	26	0.0898208	0.566382	295.527	-0.0531241
330	449.86	3389.32	0	0	0	28	0.0927005	0.550387	295.527	-0.0523912
331	526.88	3370.84	0	2	1	50	0.0658419	0.496658	295.105	-0.0360619
332	619.22	3377.04	0	5.2631579	2	38	0.0819977	0.534935	295.527	-0.0374898
333	1.91	3255.42	0	18.4210526	7	38	0.0441395	0.448272	297.616	-0.0258883
334	85	3250.76	0	23.5294118	8	34	0.0496506	0.45693	297.201	-0.027237
335	248.23	3240	0	7.8947368	3	38	0.0772047	0.525854	295.948	-0.0375786
336	602.27	3153.73	0	2.173913	1	46	0.114609	0.596723	295.948	-0.0466003
337	15.73	3081.46	1	7.6923077	3	39	0.0996526	0.548799	295.948	-0.0445057
338	306.68	2885.95	0	4.6511628	2	43	0.139	0.64284	295.948	-0.0595104
339	208.2	2902.91	0	0	0	24	0.143522	0.638722	295.527	-0.0555613
340	557.64	2889.01	0	1.6666667	1	60	0.135032	0.618295	295.948	-0.0597554
